generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1774177306-bDkyeGzi8m1wBJK13XzW,2026-03-22 11:01:46.027,0.000982,,,0,0,5874,169,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,9148,2561,,tgasistant_claude
gen-1774177276-4hHCS3mTGaZLw4zXW9jJ,2026-03-22 11:01:16.538,0.002467,,-0.000499,0,0,4549,4115,1195,3333,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,28281,11612,,tgasistant_claude
gen-1774177268-4xI6Yj0EET5GbaP9TfzI,2026-03-22 11:01:08.490,0.002713,,-0.000022,0,0,4843,3534,770,148,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,24636,10276,,tgasistant_claude
gen-1774177238-dXJ4TZfUAzExjNcPTPDQ,2026-03-22 11:00:38.022,0.003864,,-0.000022,0,0,4699,5894,1541,148,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,36795,12683,,tgasistant_claude
gen-1774177237-LKVbmCsBn4iBB8eHcG2q,2026-03-22 11:00:37.942,0.003063,,-0.000022,0,0,4744,4274,1380,148,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,29373,13533,,tgasistant_claude
gen-1774177234-fpkb3xBq4Q2nVrd7eiya,2026-03-22 11:00:34.461,0.0003,,,0,0,1593,102,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,3127,445,,tgasistant_claude
gen-1774177202-Tid46tjSmUylBLs8gLNb,2026-03-22 11:00:01.900,0.00232,,-0.000501,0,0,3991,4047,1856,3342,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,31348,15277,,tgasistant_claude
gen-1774177201-Ys9yU1iewFZa18QrgLkD,2026-03-22 11:00:01.820,0.002063,,-0.000022,0,0,3710,2687,1519,148,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,21117,12097,,tgasistant_claude
gen-1774177199-OGGFRzWwUWp05Wbf4daK,2026-03-22 10:59:58.343,0.000298,,,0,0,1545,111,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2230,456,,tgasistant_claude
gen-1774177156-CHzVhykl4Wm7JQD7gM6N,2026-03-22 10:59:16.738,0.003895,,-0.000022,0,0,5053,5815,3704,148,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,40772,30918,,tgasistant_claude
gen-1774177153-rLlUNoBXhPCsi0LeTQcS,2026-03-22 10:59:13.556,0.000298,,,0,0,1481,128,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2684,438,,tgasistant_claude
gen-1774177128-jan7FXwGfgx6dU19m32A,2026-03-22 10:58:48.894,0.002004,,-0.000482,0,0,4769,3067,1344,3216,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,23618,9689,,tgasistant_claude
gen-1774177125-WPDrbUShn4jDQOYcYnB2,2026-03-22 10:58:45.600,0.00014,,,0,0,542,98,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2967,412,,tgasistant_claude
gen-1774177120-S9fYxU6gcCxVvvaZqBXx,2026-03-22 10:58:40.092,0.001046,,-0.000022,0,0,3635,683,545,147,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,5239,4671,,tgasistant_claude
gen-1774177118-TR3dHz5OzgimDcsV4eIv,2026-03-22 10:58:37.894,0.000222,,,0,0,1153,83,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,1699,397,,tgasistant_claude
gen-1774177094-3T9gfKmJii93FAPmdZzy,2026-03-22 10:58:14.847,0.002427,,-0.000022,0,0,4215,3214,1245,148,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,22295,12570,,tgasistant_claude
gen-1774177092-Z8czNYUxVFovtqsBWF9r,2026-03-22 10:58:12.054,0.000154,,,0,0,739,73,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2361,446,,tgasistant_claude
gen-1774177081-lTnj0Mnw7ktgk0nslV2w,2026-03-22 10:58:01.989,0.000282,,,0,0,230,60,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1666,1419,,tgassistant_gemini
gen-1774177074-XhLna1fYIe5qUu9A4fNF,2026-03-22 10:57:54.926,0.001922,,-0.000022,0,0,4189,2213,1294,148,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,16698,11841,,tgasistant_claude
gen-1774177074-ZWYvKRS3AV8VUfmJxXEh,2026-03-22 10:57:54.852,0.000255,,,0,0,230,49,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1186,1161,,tgassistant_gemini
gen-1774177070-xpPR9fKI6EsKOrUg5ztr,2026-03-22 10:57:50.780,0.00064,,,0,0,3731,134,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,3749,519,,tgasistant_claude
gen-1774177069-EQ4eMvqN4oO8FClUVnM0,2026-03-22 10:57:49.425,0.000258,,,0,0,230,50,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1783,1602,,tgassistant_gemini
gen-1774177038-eZDfy01uDLThokgshBhV,2026-03-22 10:57:18.701,0.00174,,-0.000543,0,0,3986,2974,1609,3626,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,24169,17669,,tgasistant_claude
gen-1774177038-tzMKtDuhlq54P6E8ZWFq,2026-03-22 10:57:18.320,0.002724,,-0.000493,0,0,4740,4541,1448,3292,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,30747,14986,,tgasistant_claude
gen-1774177038-OldIwJeoNANpbAPdd3ZZ,2026-03-22 10:57:18.018,0.001809,,-0.000495,0,0,4206,2928,636,3302,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,19989,5784,,tgasistant_claude
gen-1774177037-B7PH1ire893ls1FvZQbE,2026-03-22 10:57:17.935,0.00135,,-0.000482,0,0,4121,2017,1457,3216,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,17441,14443,,tgasistant_claude
gen-1774177024-zSZy6USginXdj8DrcnGZ,2026-03-22 10:57:04.989,0.001396,,-0.000022,0,0,3467,1450,909,148,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,12484,7602,,tgasistant_claude
gen-1774177022-nB2qAOCIQsku7JL4I8lT,2026-03-22 10:57:02.147,0.000348,,,0,0,1904,105,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2433,433,,tgasistant_claude
gen-1774177006-TP5mqJ3bkbqNez72gqlg,2026-03-22 10:56:46.302,0.000172,,,0,0,248,10,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1441,1395,,tgassistant_gemini
gen-1774176999-JELIMu1r3MiCacJqME5l,2026-03-22 10:56:39.401,0.000204,,,0,0,248,23,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1226,1130,,tgassistant_gemini
gen-1774176994-iBv0X44jjrT8cVyKNBKI,2026-03-22 10:56:34.012,0.000172,,,0,0,248,10,0,0,openai/gpt-audio-mini,OpenAI,standard,false,true,,stop,stop,1721,1675,,tgassistant_gemini
gen-1774176986-Wn0HXGWUeAGswINqh39F,2026-03-22 10:56:26.252,0.001005,,-0.000483,0,0,3697,1500,701,3224,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,11088,7351,,tgasistant_claude
gen-1774176986-cAq8FSCbK5GEPO779wnH,2026-03-22 10:56:26.169,0.002344,,-0.000482,0,0,4573,3825,886,3216,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,34480,19262,,tgasistant_claude
gen-1774176983-K3XRYRnETASp5KtcCQ1a,2026-03-22 10:56:23.313,0.000418,,,0,0,2335,114,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2549,459,,tgasistant_claude
gen-1774176961-tOabxITZHlNFO0UJhXjN,2026-03-22 10:56:00.949,0.002318,,-0.000503,0,0,5177,3572,1299,3356,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,21362,9545,,tgasistant_claude
gen-1774176960-Ujd3Gx6cIgiwSRGHEnnV,2026-03-22 10:56:00.873,0.001944,,-0.000484,0,0,4184,3185,880,3231,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,19698,6787,,tgasistant_claude
gen-1774176957-Zc1PeQ7n43zuvboNKiTE,2026-03-22 10:55:57.312,0.000333,,,0,0,1694,132,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,3045,491,,tgasistant_claude
gen-1774176927-spjkGWRFNz531p2Tw4Fl,2026-03-22 10:55:27.790,0.002668,,-0.000484,0,0,4772,4399,1623,3233,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,28198,14760,,tgasistant_claude
gen-1774176923-yGL7uRMNOXbE772Rbkdt,2026-03-22 10:55:22.906,0.000383,,,0,0,2015,136,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,4378,414,,tgasistant_claude
gen-1774176878-YCuzkV0ssE1EnCKgIrPc,2026-03-22 10:54:38.726,0.003678,,-0.000482,0,0,5031,6309,3331,3216,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,42616,27853,,tgasistant_claude
gen-1774176875-VhDYjHaw2mgvYJVry7nP,2026-03-22 10:54:35.791,0.000403,,,0,0,2264,106,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2587,552,,tgasistant_claude
gen-1774176850-AeHs86JJ0xT7vNxrKzvk,2026-03-22 10:54:10.107,0.002188,,-0.000022,0,0,3785,2908,1464,148,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,24172,17674,,tgasistant_claude
gen-1774176850-Nti8ZQtlwCi52WFBJ8cw,2026-03-22 10:54:10.084,0.001645,,-0.000484,0,0,4241,2563,1201,3231,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,17438,11126,,tgasistant_claude
gen-1774176849-LsseTA4OQkuHBTVEEMbU,2026-03-22 10:54:09.770,0.002329,,-0.000022,0,0,3992,3106,1160,148,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,20031,10758,,tgasistant_claude
gen-1774176847-GwqZx2I49uVSZdXAnLrf,2026-03-22 10:54:06.882,0.00023,,,0,0,1180,89,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,2151,518,,tgasistant_claude
gen-1774176829-pU8qeDv09TUhSKWxYrSM,2026-03-22 10:53:49.250,0.001978,,-0.000022,0,0,4264,2296,979,147,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,16060,8835,,tgasistant_claude
gen-1774176829-sLAHOsOpKMknHIVCDaLW,2026-03-22 10:53:48.992,0.001233,,-0.000476,0,0,3762,1916,901,3179,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,14360,9473,,tgasistant_claude
gen-1774176824-pPk7cQxRuovFgg3GQSdd,2026-03-22 10:53:44.648,0.000721,,,0,0,4294,129,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,3571,724,,tgasistant_claude
gen-1774176798-gWmerzniOKr1iHhgcksS,2026-03-22 10:53:18.279,0.002222,,-0.000506,0,0,4625,3608,739,3375,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,24341,11072,,tgasistant_claude
gen-1774176767-vvlrQ5DwEwW6MVh67AxW,2026-03-22 10:52:47.311,0.003073,,-0.000022,0,0,4722,4303,902,148,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,29130,8465,,tgasistant_claude
gen-1774176766-ELqSjNAbuFb0cVbO3L1n,2026-03-22 10:52:46.365,0.003192,,-0.000022,0,0,4648,4570,1325,147,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,32170,13215,,tgasistant_claude
gen-1774176762-hkU8icdROJJBPa6vzlut,2026-03-22 10:52:42.656,0.000893,,,0,0,5380,144,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,3395,574,,tgasistant_claude
gen-1774176750-IHJW6ErJk1P2Y58vf63P,2026-03-22 10:52:30.461,0.000514,,-0.000505,0,0,3704,558,366,3370,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,8727,2695,,tgasistant_claude
gen-1774176750-jPr4OOJNuUtUoEtNeBYT,2026-03-22 10:52:30.050,0.001179,,-0.000505,0,0,3852,1830,925,3370,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,11835,6795,,tgasistant_claude
gen-1774176732-B4OtbmjlsmdCsplQCzAG,2026-03-22 10:52:12.693,0.001854,,-0.000022,0,0,4751,1853,719,147,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,16147,11164,,tgasistant_claude
gen-1774176719-AxXBhPUoLOynUSXnu9tA,2026-03-22 10:51:59.276,0.002406,,-0.000505,0,0,4647,3965,1180,3370,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,29563,13582,,tgasistant_claude
gen-1774176706-8poARlg15JHCx2lAmXQp,2026-03-22 10:51:46.269,0.0021,,-0.000505,0,0,4769,3304,1825,3370,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,24840,18004,,tgasistant_claude
gen-1774176687-XhNnxCZw7wTDwmgG4lGi,2026-03-22 10:51:27.704,0.002609,,-0.000505,0,0,4609,4387,2694,3370,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,30623,22582,,tgasistant_claude
gen-1774176677-koS4z6zDfY3aHAGjK9Xs,2026-03-22 10:51:17.094,0.003042,,-0.000022,0,0,4646,4270,1162,148,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,27034,12477,,tgasistant_claude
gen-1774176676-2GRldHgrFtGnxlDh5mIZ,2026-03-22 10:51:16.701,0.001374,,-0.000483,0,0,4773,1806,446,3224,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,9881,4486,,tgasistant_claude
gen-1774176672-UzvfgUrRfcnl3hFXwvin,2026-03-22 10:51:12.226,0.000565,,,0,0,3211,140,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,3591,596,,tgasistant_claude
gen-1774176649-jh38xpZD2zEYvtZM8rBo,2026-03-22 10:50:49.415,0.001867,,-0.000483,0,0,4358,2959,1364,3224,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,18675,10947,,tgasistant_claude
gen-1774176622-dGaQt9BxqNWZW5wvGZ1j,2026-03-22 10:50:22.219,0.002604,,-0.000022,0,0,4827,3322,1047,148,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,25427,14288,,tgasistant_claude
gen-1774176621-wKqagFK2lk00CoGluFAk,2026-03-22 10:50:21.899,0.002437,,-0.000483,0,0,4760,3939,2674,3224,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,38609,32058,,tgasistant_claude
gen-1774176615-SRvq8rZ5QhrtroCn1qqI,2026-03-22 10:50:15.377,0.001009,,,0,0,6039,172,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,5730,1140,,tgasistant_claude
gen-1774176597-eKGpW3sLKSemZlJl00jZ,2026-03-22 10:49:56.917,0.00136,,-0.000496,0,0,4165,2049,1022,3311,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,16703,12243,,tgasistant_claude
